County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative deaths,Area of Concern Category,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days__1,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting)__1,Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting)__1,% tests resulted in 3 or fewer days - absolute change__1,Viral (RT-PCR) lab test positivity rate - 15-21 days ago (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - 15-21 days ago (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - 15-21 days ago (may be an underestimate due to delayed reporting),Median test latency - 15-21 days ago,% tests resulted in 3 or fewer days - 15-21 days ago,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Native American / Alaskan Native,% Asian,SVI score,CCVI score,Forecasted case trajectory
"Nassau County, NY",36059,Large fringe metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,1356924,0.0706,0.0698,0.0041,39330,0.029,0.0067,10545,777,56,4.1,0.06,-0.08,0.005687699,9979,735,61,4.5,109984,2518,SustainedHotspot,0.107,91195,6721,0.88,-0.006,0.19,-0.08,0.112,76522,5639,1,0.96,0.013,-0.09,0.03,0.099,83792,6175,1,0.93,492,15,28,1,0.76,0.21,0.61,0.24,0.33,0.11,0.08,-0.22,0.03,0.01,0.02,0.02,0.03,0.01,8,3176.571429,377.1428571,519.8571429,1,1,1,1,0.04799536,0.057190706,0.181800897,3,0.117114886,0.174825561,0.01,0.108776173,0.243,0.174148,Uncertain
"Pima County, AZ",4019,Medium metro,"Tucson, AZ",Metropolitan,AZ,Region 9,1047279,1,0.1439,0.0032,36213,0.0346,0.0054,8497,811,177,16.9,-0.02,0.32,0.004917104,8627,824,134,12.8,87687,1393,SustainedHotspot,0.266,30715,2933,0.96,-0.038,0.16,0,0.304,26383,2519,1,0.96,0.036,0.09,0.03,0.268,24266,2317,1,0.93,409,19,139,6,0.82,0.29,0.72,0.48,0.55,0.31,-0.09,-0.15,-0.04,-0.02,-0.08,-0.05,-0.02,-0.01,12,2176.071429,478.1190476,464.5238095,1,0.916666667,1,1,0.098656518,0.178558098,0.202958333,2.47,0.034178094,0.377593745,0.04,0.033491553,0.8828,0.297994,Uncertain
"Bronx County, NY",36005,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,1418207,0.0738,0.0729,0.0043,28996,0.0204,0.0052,8113,572,62,4.4,0.17,0.51,0.00395272,6935,489,41,2.9,101553,5243,SustainedHotspot,0.096,71339,5030,0.93,-0.011,0.32,-0.03,0.108,54148,3818,1,0.96,0.011,-0.08,0.03,0.097,58834,4148,1,0.93,458,11,55,1,0.71,0.15,0.78,0.31,0.26,0.08,0.12,0.08,0.05,0.02,0.02,0.05,0.01,0.01,8,3990.714286,371.2857143,1056,1,0.875,1,1,0.096639634,0.290559209,0.133101867,2.79,0.292400193,0.563796399,0.03,0.045611113,0.9927,0.993951,Uncertain
"Middlesex County, MA",25017,Large fringe metro,"Boston-Cambridge-Newton, MA-NH",Metropolitan,MA,Region 1,1611699,0.3307,0.2338,0.0049,90325,0.056,0.0046,7220,448,106,6.6,-0.11,0.18,0.004607042,8083,502,90,5.6,90918,2925,SustainedHotspot,0.055,146056,9062,0.98,-0.007,0.24,0.01,0.062,118207,7334,1,0.97,-0.009,0.12,0.01,0.071,105356,6537,1,0.96,362,15,148,6,0.79,0.14,0.78,0.33,0.25,0.1,0.01,-0.26,0.01,-0.02,-0.01,-0.03,-0.01,-0.02,12,2416.285714,217.8571429,443,1,1,1,1,0.025944369,0.079343512,0.156534192,2.56,0.052628934,0.083248795,0,0.130783726,0.2264,0.296084,Uncertain
"Wake County, NC",37183,Large central metro,"Raleigh-Cary, NC",Metropolitan,NC,Region 4,1111761,0.7994,0.106,0.0033,34540,0.0311,0.0043,6777,610,33,3,0.34,1.06,0.002878903,5051,454,16,1.4,55887,394,SustainedHotspot,0.093,66686,5998,0.99,-0.023,0.22,0,0.116,54843,4933,0,0.99,0.016,0.4,0.01,0.099,39295,3534,0,0.98,110,7,198,13,0.84,0.19,0.84,0.27,0.24,0.09,0.04,-0.07,0.02,0.01,-0.01,-0.03,-0.03,-0.01,4,1511,281.7142857,302,1,1,1,1,0.088787715,0.097593221,0.120407174,2.62,0.199855904,0.103917119,0.01,0.07683306,0.2774,0.272525,Uncertain
"Gwinnett County, GA",13135,Large fringe metro,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan,GA,Region 4,936250,0.1555,0.0882,0.0028,8203,0.0088,0.0042,6659,711,34,3.6,0.23,2.4,0.0030972,5434,580,10,1.1,70658,648,SustainedHotspot,0.249,18256,1950,0.48,0.015,1.03,-0.01,0.233,8989,960,0,0.49,-0.006,-0.53,0,0.239,19312,2063,0,0.49,272,33,7,1,0.82,0.39,0.78,0.37,0.41,0.21,-0.02,-0.46,0.02,0.05,0.04,0.01,-0.03,0.02,2,813,90.28571429,206.4285714,1,1,1,1,0.170221182,0.113728009,0.104602403,3.11,0.279634713,0.21748785,0.01,0.125462216,0.4347,0.36326,Uncertain
"Mecklenburg County, NC",37119,Large central metro,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan,NC,Region 4,1110356,0.4211,0.1059,0.0033,30244,0.0272,0.0039,6160,555,53,4.8,-0.07,0,0.00378857,6647,599,53,4.8,75261,660,SustainedHotspot,0.141,43551,3922,0.98,-0.026,0.16,0,0.167,37426,3371,1,0.98,0.018,0.08,0.07,0.149,34746,3129,1,0.91,337,11,302,10,0.81,0.2,0.88,0.4,0.38,0.14,0.12,0.13,0,0.01,-0.03,-0.03,-0.03,0,7,3143.714286,277,605.1428571,1,1,1,1,0.118744549,0.126618299,0.114995551,2.57,0.31506832,0.137726099,0.01,0.063091477,0.4408,0.407195,Uncertain
"New York County, NY",36061,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,1628706,0.0848,0.0837,0.0049,178189,0.1094,0.0038,5945,365,48,2.9,0.16,1.09,0.00291481,5114,314,23,1.4,72735,3419,SustainedHotspot,0.046,119567,7341,0.95,-0.004,0.41,-0.02,0.05,85037,5221,1,0.97,0.001,-0.07,0.02,0.049,91654,5627,1,0.95,988,9,339,3,0.74,0.16,0.74,0.24,0.27,0.08,0.08,-0.05,0.04,0.01,0.05,0.02,0.01,0,14,10766.85714,1184.714286,2507.428571,1,0.928571429,1,1,0.057828052,0.166175441,0.169533974,2.07,0.123919848,0.255883505,0.01,0.128462104,0.551,0.319962,Uncertain
"Westchester County, NY",36119,Large fringe metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,967506,0.0503,0.0497,0.0029,22155,0.0229,0.0038,5893,609,61,6.3,0.08,0.61,0.003120569,5475,566,38,3.9,81982,1774,SustainedHotspot,0.098,63699,6584,0.91,-0.003,0.16,-0.04,0.101,55086,5694,1,0.95,0.007,-0.06,0.04,0.094,58497,6046,1,0.91,394,15,211,8,0.75,0.19,0.61,0.22,0.33,0.08,0.38,-0.15,0.03,0.03,0,0.03,0.01,0.01,11,2573.857143,259.1428571,464,1,0.909090909,1,1,0.067662137,0.092230705,0.174170496,2.71,0.138196559,0.255471284,0.01,0.064640426,0.5516,0.517033,Uncertain
"Franklin County, OH",39049,Large central metro,"Columbus, OH",Metropolitan,OH,Region 5,1316756,0.6204,0.1126,0.004,61290,0.0465,0.0037,5864,445,4,0.3,-0.08,1,0.003628409,6366,483,2,0.2,96280,704,SustainedHotspot,0.139,20478,1555,0.99,-0.026,0.31,0,0.165,15675,1190,2,0.99,0.013,-0.14,0,0.152,18201,1382,2,0.99,407,11,338,9,0.82,0.1,0.92,0.19,0.43,0.06,0.07,0.01,0.02,0,-0.01,-0.02,-0.01,0,11,3869.428571,464.2857143,1329.714286,1,1,1,1,0.080678581,0.163094652,0.12389767,2.47,0.231612387,0.057811014,0,0.057250546,0.5124,0.34575,Likely Decreasing
