County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative deaths,Area of Concern Category,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days__1,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting)__1,Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting)__1,% tests resulted in 3 or fewer days - absolute change__1,Viral (RT-PCR) lab test positivity rate - 15-21 days ago (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - 15-21 days ago (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - 15-21 days ago (may be an underestimate due to delayed reporting),Median test latency - 15-21 days ago,% tests resulted in 3 or fewer days - 15-21 days ago,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Native American / Alaskan Native,% Asian,SVI score,CCVI score,Forecasted case trajectory
"Rutherford County, TN",47149,Large fringe metro,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,TN,Region 4,332285,0.1718,0.0487,0.001,16231,0.0488,0.0011,1803,543,19,5.7,-0.21,-0.1,0.001296675,2275,685,21,6.3,32696,282,SustainedHotspot,0.195,5812,1749,0.99,-0.065,-0.19,0.07,0.26,7133,2147,1,0.92,0.032,0.06,-0.03,0.228,6733,2026,1,0.95,70,13,38,7,0.8,0.26,0.97,0.32,0.24,0.14,0.2,-0.2,-0.01,-0.03,0,-0.03,-0.07,-0.1,3,527.1428571,80.57142857,60.85714286,1,1,1,0.666666667,0.08900625,0.118167939,0.107805047,2.76,0.158216591,0.086823059,0.01,0.036483741,0.3268,0.325692,Uncertain
"Ada County, ID",16001,Medium metro,"Boise City, ID",Metropolitan,ID,Region 10,481587,0.6428,0.2695,0.0015,13991,0.0291,0.0011,1790,372,19,3.9,-0.11,0.46,0.001144493,2008,417,13,2.7,42060,387,SustainedHotspot,0.16,12057,2504,0.96,-0.042,0.16,0.03,0.201,10382,2156,1,0.93,0.006,0.15,0.03,0.195,9050,1879,1,0.9,70,6,11,1,0.62,0.09,0.75,0.25,0.14,0.03,-0.11,-0.01,0,-0.01,0,0.04,-0.01,0,4,1128,105.8571429,242.2857143,1,0.75,1,1,0.082827413,0.109984871,0.149418485,2.59,0.012757819,0.08522863,0.01,0.027266101,0.1373,0.020057,Uncertain
"Hamilton County, IN",18057,Large fringe metro,"Indianapolis-Carmel-Anderson, IN",Metropolitan,IN,Region 5,338011,0.1629,0.0502,0.001,37,1.00E-04,0.0011,1785,528,12,3.6,-0.06,0.2,0.001080087,1895,561,10,3,27929,303,SustainedHotspot,0.124,11464,3392,0.94,-0.025,0.02,0.02,0.149,11225,3321,2,0.92,0,-0.13,0.03,0.15,12838,3798,2,0.89,54,9,46,8,0.49,0.11,0.74,0.35,0.22,0.13,-0.59,-0.04,0.02,-0.02,-0.09,-0.05,0.02,0,6,582,46.57142857,90,0.833333333,0.833333333,1,0.833333333,0.049922265,0.047340934,0.128134883,2.69,0.043753014,0.042741213,0,0.064983092,0.0255,0.074499,Uncertain
"Lexington County, SC",45063,Medium metro,"Columbia, SC",Metropolitan,SC,Region 4,298750,0.3563,0.058,9.00E-04,0,0,0.0011,1784,597,18,6,-0.23,0.38,0.001322893,2321,777,13,4.4,21715,317,SustainedHotspot,0.118,8838,2958,0.68,-0.049,0.43,-0.03,0.166,6173,2066,2,0.71,0.016,-0.05,0.06,0.15,6473,2167,2,0.65,143,23,29,5,0.88,0.25,0.83,0.41,0.17,0.09,-0.04,-0.45,-0.01,-0.01,-0.07,-0.05,-0.05,-0.04,2,616.1428571,80.71428571,83,1,1,1,1,0.101090958,0.126704783,0.162175732,2.54,0.15185272,0.062908787,0.01,0.022098745,0.442,0.183381,Uncertain
"Lucas County, OH",39095,Medium metro,"Toledo, OH",Metropolitan,OH,Region 5,428348,0.6674,0.0366,0.0013,16887,0.0394,0.0011,1769,413,26,6.1,-0.17,1,0.001216879,2135,498,13,3,29709,580,SustainedHotspot,0.147,9631,2248,0.96,-0.03,0.06,0,0.177,9080,2120,2,0.96,-0.007,0.07,0.09,0.184,8502,1985,2,0.87,223,11,149,7,0.63,0.15,0.61,0.24,0.36,0.13,-0.07,0,0.02,-0.02,0,-0.02,-0.01,-0.01,9,2087.857143,407,545.1428571,1,1,1,1,0.062205916,0.191103953,0.167018406,2.36,0.196408061,0.073781131,0,0.017235986,0.6876,0.32219,Uncertain
"Washington County, AR",5143,Medium metro,"Fayetteville-Springdale-Rogers, AR",Metropolitan,AR,Region 6,239187,0.4472,0.0793,7.00E-04,22602,0.0945,0.0011,1734,725,11,4.6,-0.05,0,0.00103791,1821,761,11,4.6,25360,245,SustainedHotspot,0.124,7500,3136,0.95,-0.029,0.21,-0.04,0.153,6220,2600,0,0.99,0.018,0.35,0.02,0.135,4605,1925,0,0.97,63,10,0,0,0.8,0.14,0.47,0.24,0.51,0.23,-0.07,-1,0.01,0.02,0.03,0.03,0.12,0.07,7,605.8571429,175.2857143,95.14285714,0.857142857,0.714285714,1,0.857142857,0.115144642,0.168500095,0.1209054,2.57,0.034299523,0.171409817,0.02,0.026326682,0.6745,0.478192,Uncertain
"Arapahoe County, CO",8005,Large fringe metro,"Denver-Aurora-Lakewood, CO",Metropolitan,CO,Region 8,656590,0.2213,0.114,0.002,362,6.00E-04,0.0011,1732,264,18,2.7,-0.2,0,0.001235688,2168,330,18,2.7,42234,598,SustainedHotspot,0.064,28929,4406,0.84,-0.014,0.06,0.02,0.079,27167,4138,1,0.82,0.007,0.15,-0.07,0.072,23580,3591,1,0.89,47,5,5,0,0.68,0.09,0.83,0.26,0.28,0.11,-0.06,-0.17,-0.01,0,0.03,0.03,0,0,3,1016,130,169,1,1,1,1,0.081920967,0.090293536,0.134799494,2.66,0.10640887,0.197506816,0.01,0.065559938,0.2662,0.053486,Uncertain
"Oneida County, NY",36065,Medium metro,"Utica-Rome, NY",Metropolitan,NY,Region 2,228671,0.7885,0.0118,7.00E-04,7288,0.0319,0.0011,1714,750,43,18.8,-0.13,0.23,0.001123405,1971,862,35,15.3,16110,331,SustainedHotspot,0.104,13483,5896,0.88,-0.01,0.12,-0.03,0.114,12081,5283,2,0.91,0.011,-0.09,0.08,0.103,13334,5831,2,0.83,114,22,25,5,0.84,0.42,0.8,0.43,0.56,0.27,-0.2,0.14,-0.01,-0.01,0.06,0.01,0.08,0.01,3,510.4285714,81.14285714,96.57142857,1,1,1,1,0.042098048,0.161640835,0.191733976,2.42,0.061853055,0.061586296,0,0.041491925,0.6946,0.477555,Uncertain
"Horry County, SC",45051,Medium metro,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Metropolitan,SC,Region 4,354081,0.7126,0.0688,0.0011,9135,0.0258,0.0011,1700,480,15,4.2,-0.22,-0.35,0.001243098,2181,616,23,6.5,25510,377,SustainedHotspot,0.181,5964,1684,0.61,-0.01,0.09,-0.13,0.191,5495,1552,2,0.74,-0.036,0.25,-0.01,0.227,4382,1238,1,0.75,155,22,61,9,0.93,0.26,0.94,0.42,0.3,0.16,0,-0.29,-0.01,0,-0.01,0.02,0.03,0.03,3,707.1428571,96,136.2857143,1,1,1,1,0.141906221,0.163540776,0.250815491,2.46,0.125228408,0.060977573,0.01,0.013988325,0.6102,0.23241,Uncertain
"Mohave County, AZ",4015,Small metro,"Lake Havasu City-Kingman, AZ",Metropolitan,AZ,Region 9,212181,1,0.0292,6.00E-04,0,0,0.0011,1698,800,47,22.2,-0.06,0.34,0.00102993,1807,852,35,16.5,16397,431,SustainedHotspot,0.254,5289,2493,0.97,-0.031,-0.09,-0.01,0.285,5812,2739,1,0.98,-0.035,0.36,0.01,0.319,4267,2011,1,0.97,510,88,23,4,0.71,0.31,0.81,0.44,0.41,0.25,-0.05,-0.44,0.03,0,0.02,-0.02,0.06,-0.02,4,581.8571429,67.85714286,72,1,1,1,1,0.103626586,0.174768146,0.310631018,2.37,0.011084876,0.169284714,0.03,0.012300819,0.8624,0.475008,Uncertain
"Polk County, IA",19153,Medium metro,"Des Moines-West Des Moines, IA",Metropolitan,IA,Region 7,490161,0.7009,0.1554,0.0015,5630,0.0115,0.0011,1695,346,17,3.5,-0.08,0.42,0.001049309,1841,376,12,2.4,45206,441,SustainedHotspot,0.131,11151,2275,0.99,-0.023,0.09,0.01,0.155,10197,2080,1,0.98,0.041,0.26,0.04,0.114,8119,1656,1,0.94,71,5,188,12,0.69,0.08,0.81,0.1,0.3,0.02,-0.21,0.95,-0.01,0,-0.1,-0.08,-0.07,-0.03,5,1564.571429,146.1428571,276.2857143,1,0.8,1,1,0.051013236,0.11117015,0.134835289,2.53,0.069650584,0.086659281,0,0.049922372,0.3768,0.253741,Uncertain
"Spartanburg County, SC",45083,Medium metro,"Spartanburg, SC",Metropolitan,SC,Region 4,319785,1,0.0621,0.001,7336,0.0229,0.0011,1692,529,38,11.9,-0.32,0.46,0.001419217,2490,779,26,8.1,25217,483,SustainedHotspot,0.238,5582,1746,0.61,-0.051,0.14,-0.12,0.289,4900,1532,2,0.73,0.037,0.15,0.07,0.252,4274,1337,2,0.66,183,30,63,10,0.95,0.31,0.91,0.34,0.54,0.24,-0.08,-0.07,0.01,-0.02,-0.01,0.06,0.1,0.11,2,609.1428571,81.42857143,85,1,1,1,1,0.109206243,0.14784474,0.164132151,2.57,0.2044655,0.072873962,0,0.025851744,0.7618,0.437759,Uncertain
"Allen County, IN",18003,Medium metro,"Fort Wayne, IN",Metropolitan,IN,Region 5,379299,0.9178,0.0563,0.0011,9519,0.0251,0.0011,1679,443,21,5.5,0.01,-0.3,0.000943295,1655,436,30,7.9,31608,539,SustainedHotspot,0.13,5002,1319,0.94,-0.044,-0.17,0.18,0.174,5997,1581,2,0.76,-0.009,0.02,-0.12,0.183,5852,1543,2,0.88,146,10,21,1,0.79,0.12,0.83,0.2,0.35,0.13,0.02,-0.14,-0.02,-0.02,-0.02,-0.02,-0.04,-0.03,6,1451.428571,292.8571429,238,1,0.833333333,1,1,0.094262731,0.14344056,0.149180462,2.54,0.115452453,0.077395406,0,0.045955829,0.5236,0.325374,Uncertain
"Baltimore city, MD",24510,Large central metro,"Baltimore-Columbia-Towson, MD",Metropolitan,MD,Region 3,593490,0.212,0.0982,0.0018,35719,0.0602,0.0011,1671,282,16,2.7,0.03,-0.52,0.000921636,1617,272,33,5.6,35199,760,SustainedHotspot,0.064,35048,5905,0.95,-0.011,0,0.08,0.075,35190,5929,2,0.87,0.006,0.08,0.02,0.069,32544,5483,2,0.85,347,9,593,16,0.79,0.12,0.85,0.19,0.24,0.05,-0.1,-0.11,0.01,0,0.01,-0.01,-0.01,0,13,3757.928571,558.5952381,1250.714286,1,0.923076923,1,1,0.072164863,0.21783623,0.145165041,2.48,0.617831808,0.056701882,0,0.027351767,0.8312,0.58994,Uncertain
"Atlantic County, NJ",34001,Medium metro,"Atlantic City-Hammonton, NJ",Metropolitan,NJ,Region 2,263670,1,0.0297,8.00E-04,8531,0.0324,0.001,1643,623,21,8,0.19,0.17,0.000788264,1383,525,18,6.8,18377,409,SustainedHotspot,0.171,7471,2833,0.98,0.001,0.03,0.01,0.17,7278,2760,1,0.97,0,0.13,0,0.17,6454,2448,0,0.97,155,21,18,2,0.71,0.24,0.7,0.32,0.43,0.13,-0.1,0.06,-0.01,-0.01,-0.15,-0.08,0.03,0,3,733,69.14285714,160.5714286,1,1,1,1,0.092737464,0.142695568,0.185940759,2.63,0.145659347,0.193912846,0.01,0.08071453,0.7911,0.505253,Uncertain
"Lake County, IN",18089,Large fringe metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IN,Region 5,485493,0.0513,0.0721,0.0015,6158,0.0127,0.001,1641,338,25,5.1,-0.17,-0.19,0.001120555,1966,405,31,6.4,43837,665,SustainedHotspot,0.13,8940,1841,0.89,-0.033,-0.16,0.05,0.163,10689,2202,2,0.84,-0.003,-0.02,0.01,0.167,10953,2256,2,0.83,150,7,212,10,0.66,0.12,0.72,0.23,0.2,0.05,-0.1,0.09,0.01,-0.01,0.02,-0.03,0,0,12,2041.428571,194,426.8571429,1,1,1,1,0.08611772,0.164494687,0.169302132,2.59,0.232744859,0.196200563,0.01,0.017163996,0.7252,0.512576,Uncertain
"Butler County, OH",39017,Large fringe metro,"Cincinnati, OH-KY-IN",Metropolitan,OH,Region 5,383134,0.1725,0.0328,0.0012,17712,0.0462,0.001,1632,426,15,3.9,-0.16,-0.35,0.001106306,1941,507,23,6,29296,226,SustainedHotspot,0.228,1371,358,1,-0.041,0.15,0,0.27,1191,311,2,1,0.001,0,0.01,0.269,1190,311,2,0.99,79,15,63,12,0.85,0.3,0.9,0.42,0.32,0.16,-0.05,-0.07,0,-0.04,0,0.01,0.05,0.03,4,531.8571429,97.71428571,122.8571429,1,1,1,1,0.05795145,0.130193557,0.151289105,2.65,0.087679506,0.049885941,0,0.038764505,0.3618,0.536453,Uncertain
"Davis County, UT",49011,Medium metro,"Ogden-Clearfield, UT",Metropolitan,UT,Region 8,355481,0.5198,0.1109,0.0011,0,0,0.001,1617,455,5,1.4,-0.4,-0.69,0.00154005,2702,760,16,4.5,29342,107,SustainedHotspot,0.186,8761,2465,0.99,-0.061,-0.15,0,0.247,10330,2906,1,0.99,0.039,0.16,0.01,0.208,8912,2507,1,0.98,31,11,9,3,0.5,0.1,0.82,0.44,0.17,0.06,-0.06,0.5,-0.01,-0.02,0.02,0,-0.04,0,3,290,30,65.71428571,1,1,1,1,0.062940877,0.055486789,0.103065987,3.29,0.012144109,0.101600367,0.01,0.020867501,0.0796,0.204394,Uncertain
"Rockland County, NY",36087,Large fringe metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,325789,0.017,0.0167,0.001,6107,0.0187,0.001,1617,496,16,4.9,-0.04,-0.16,0.000955264,1676,514,19,5.8,31061,806,SustainedHotspot,0.092,16312,5007,0.94,-0.017,0.23,-0.01,0.109,13234,4062,1,0.95,0.006,-0.12,0.06,0.103,14984,4599,1,0.89,88,18,1,0,0.77,0.23,0.56,0.26,0.3,0.13,-0.04,-0.5,0.05,0.01,0.06,0.04,0.02,0.01,3,498,81,107,1,1,1,1,0.060963628,0.142906829,0.158903462,3.17,0.112103232,0.183974904,0.01,0.062347102,0.6038,0.563515,Uncertain
"Kane County, IL",17089,Large fringe metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,Region 5,532403,0.0563,0.042,0.0016,5172,0.0097,0.001,1609,302,25,4.7,-0.26,-0.34,0.001242528,2180,409,38,7.1,45300,667,SustainedHotspot,0.111,10885,2045,1,-0.025,0.11,0.01,0.135,9816,1844,1,0.99,0.001,0.08,0,0.134,9105,1710,1,0.99,130,12,73,7,0.7,0.16,0.74,0.29,0.23,0.09,0.12,0.18,0.01,-0.01,0.06,0.02,0.03,0,5,1047,97,204.4285714,1,1,1,1,0.08815474,0.099703261,0.142638189,2.95,0.05297303,0.323741602,0.01,0.043745058,0.4169,0.281439,Uncertain
"Richmond County, GA",13245,Medium metro,"Augusta-Richmond County, GA-SC",Metropolitan,GA,Region 4,202518,0.3326,0.0191,6.00E-04,7272,0.0359,0.001,1594,787,18,8.9,0.27,0.2,0.000716448,1257,621,15,7.4,17893,286,SustainedHotspot,0.225,4391,2168,0.95,-0.027,1.7,0.03,0.252,1626,803,0,0.92,0.027,-0.55,-0.02,0.225,3641,1798,0,0.94,234,17,16,1,0.8,0.23,0.89,0.34,0.48,0.22,-0.13,0.6,-0.03,0.03,-0.01,0.02,-0.01,-0.01,5,1401.714286,239,258.2857143,1,0.8,1,1,0.136488695,0.235990355,0.144989581,2.65,0.56645829,0.050662163,0,0.017504617,0.9328,0.415154,Uncertain
"Gaston County, NC",37071,Large fringe metro,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan,NC,Region 4,224529,0.0851,0.0214,7.00E-04,1440,0.0064,0.001,1589,708,13,5.8,-0.17,-0.38,0.001097756,1926,858,21,9.4,19028,273,SustainedHotspot,0.189,8609,3834,0.97,-0.028,0.08,-0.01,0.217,7968,3549,1,0.98,0.022,0.22,0.03,0.194,6523,2905,1,0.95,58,14,0,0,0.82,0.3,0.98,0.55,0.49,0.28,-0.18,-1,-0.04,-0.03,0.19,0.16,0.11,0.14,1,405.7142857,26.71428571,47,1,1,1,1,0.107909075,0.156025943,0.163235039,2.62,0.173158033,0.075776403,0.01,0.016274067,0.672,0.696912,Uncertain
"Cumberland County, NC",37051,Medium metro,"Fayetteville, NC",Metropolitan,NC,Region 4,335509,0.637,0.032,0.001,6313,0.0188,0.001,1561,465,9,2.7,-0.06,1.25,0.000946145,1660,495,4,1.2,17121,151,SustainedHotspot,0.192,6231,1857,0.97,-0.09,0.33,0.02,0.282,4669,1392,1,0.95,0.065,0.21,0.03,0.217,3858,1150,1,0.92,54,7,212,27,0.7,0.12,0.9,0.17,0.45,0.11,-0.22,-0.05,-0.02,0,0.01,-0.06,-0.03,0,3,797.1428571,75,92,1,0.666666667,1,1,0.102087159,0.191129351,0.122014611,2.55,0.372088379,0.120926711,0.02,0.027134891,0.864,0.948424,Uncertain
"Hall County, GA",13139,Small metro,"Gainesville, GA",Metropolitan,GA,Region 4,204441,1,0.0193,6.00E-04,1528,0.0075,0.001,1549,758,26,12.7,0.21,0.73,0.000731837,1284,628,15,7.3,21460,276,SustainedHotspot,0.239,4735,2316,0.85,-0.025,0.38,-0.04,0.264,3421,1673,1,0.89,-0.011,-0.32,0.08,0.275,5065,2477,1,0.81,102,15,65,9,1.01,0.49,1,0.62,0.55,0.3,-0.41,-0.45,-0.05,0.04,0,0.08,0,0.01,1,686,125,110,1,1,1,1,0.174281348,0.146064576,0.154024878,3.04,0.073375693,0.290841857,0.01,0.021174813,0.6618,0.334607,Uncertain
"Nueces County, TX",48355,Medium metro,"Corpus Christi, TX",Metropolitan,TX,Region 6,362294,0.8445,0.0125,0.0011,8184,0.0226,0.001,1543,426,29,8,0.38,0.26,0.000638363,1120,309,23,6.3,32364,600,SustainedHotspot,0.129,5061,1397,0.78,-0.012,-0.13,-0.13,0.142,5792,1599,2,0.91,0.003,0.11,0.03,0.139,5208,1438,2,0.88,104,7,123,8,0.59,0.12,0.93,0.3,0.42,0.07,0.06,-0.05,0.03,-0.01,0.05,-0.02,-0.03,0,5,1532.166667,145.7142857,388,1,1,1,1,0.170341825,0.164163771,0.149240672,2.73,0.03470938,0.644909935,0.01,0.022263686,0.8363,0.377268,Uncertain
"Washoe County, NV",32031,Medium metro,"Reno, NV",Metropolitan,NV,Region 9,471519,0.9913,0.1531,0.0014,17477,0.0371,0.001,1540,327,38,8.1,-0.06,0.19,0.000937595,1645,349,32,6.8,38941,559,SustainedHotspot,0.148,12313,2611,0.77,-0.078,0.1,-0.14,0.225,11182,2371,1,0.91,-0.003,0.16,0.02,0.229,9674,2052,2,0.89,115,9,37,3,0.77,0.13,0.58,0.22,0.29,0.12,-0.03,0.27,-0.02,-0.03,-0.05,-0.04,-0.04,0,7,1338.452381,189.4285714,161.1428571,1,0.857142857,1,1,0.101871947,0.121812515,0.168343163,2.5,0.023420053,0.250009013,0.02,0.057565019,0.5271,0.157275,Uncertain
"Northampton County, PA",42095,Medium metro,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,PA,Region 3,305285,0.3617,0.0238,9.00E-04,10697,0.035,0.001,1538,504,30,9.8,-0.1,-0.19,0.000976353,1713,561,37,12.1,20191,503,SustainedHotspot,0.152,9691,3174,0.94,-0.028,0.05,0.06,0.18,9189,3010,2,0.88,0.024,0.02,0.03,0.156,9047,2963,2,0.85,147,19,279,37,0.83,0.19,0.6,0.22,0.29,0.17,-0.05,0.05,0.03,-0.01,-0.02,-0.04,-0.09,-0.01,3,764,105,68,1,1,1,1,0.055260184,0.091173107,0.195309301,2.55,0.05643579,0.141507116,0,0.030555055,0.2876,0.163005,Uncertain
"Waukesha County, WI",55133,Large fringe metro,"Milwaukee-Waukesha, WI",Metropolitan,WI,Region 5,404198,0.2566,0.0694,0.0012,3034,0.0075,0.001,1519,376,13,3.2,-0.3,-0.59,0.001234548,2166,536,32,7.9,40939,415,SustainedHotspot,0.117,11468,2837,0.99,-0.035,0.04,0.01,0.153,10996,2720,1,0.98,0.031,0.04,0.03,0.121,10585,2619,1,0.95,71,10,26,4,0.55,0.13,0.63,0.25,0.2,0.07,-0.11,0.08,-0.04,-0.01,-0.12,0,0,-0.02,4,733,83,130.5714286,1,1,1,1,0.02867114,0.04878148,0.191863888,2.5,0.01638306,0.049117017,0,0.038436608,0.0194,0.005731,Uncertain
"Westmoreland County, PA",42129,Large fringe metro,"Pittsburgh, PA",Metropolitan,PA,Region 3,348899,0.1505,0.0273,0.0011,4998,0.0143,0.001,1517,435,51,14.6,-0.2,0.16,0.001081797,1898,544,44,12.6,22866,523,SustainedHotspot,0.121,9057,2596,0.93,-0.022,-0.01,0.08,0.142,9192,2635,2,0.85,0.008,0.09,0.16,0.134,8462,2425,2,0.69,51,11,83,18,0.75,0.22,0.86,0.41,0.24,0.11,-0.42,0.06,-0.03,-0.07,0.06,0.03,0.03,-0.01,5,452.2857143,50,95.28571429,1,1,1,1,0.038371795,0.100010069,0.232912677,2.29,0.024909788,0.012851857,0,0.009793665,0.1379,0.469277,Uncertain
"Henry County, GA",13151,Large fringe metro,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan,GA,Region 4,234561,0.039,0.0221,7.00E-04,0,0,0.001,1508,643,15,6.4,0.3,14,0.000662871,1163,496,1,0.4,16370,175,SustainedHotspot,0.218,4018,1713,0.76,-0.024,0.93,-0.05,0.242,2079,886,0,0.81,0.002,-0.52,0.05,0.24,4319,1841,0,0.76,108,43,11,4,0.71,0.47,0.9,0.71,0.87,0.37,0.03,0.22,-0.01,0.05,0.01,0.07,0.07,0.1,1,254,40,62.42857143,1,1,1,1,0.109502086,0.103931253,0.119448672,2.98,0.470001407,0.072403341,0,0.034067897,0.3137,0.427252,Uncertain
"Union County, NC",37179,Large fringe metro,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan,NC,Region 4,239859,0.091,0.0229,7.00E-04,3361,0.014,0.001,1505,627,13,5.4,-0.17,-0.07,0.00103677,1819,758,14,5.8,15829,125,SustainedHotspot,0.177,8301,3461,0.98,-0.038,0.14,0.01,0.215,7298,3043,1,0.97,0.014,0.11,0.03,0.201,6560,2735,1,0.94,23,13,55,31,0.85,0.45,0.99,1.07,0.37,0.23,-0.49,-0.17,0,0.01,0.01,0.28,0.11,0.17,1,176,14,43.85714286,1,1,1,1,0.093863408,0.089035586,0.13021817,2.99,0.118544645,0.114713227,0.01,0.036146236,0.1873,0.359758,Uncertain
"Chester County, PA",42029,Large fringe metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan,PA,Region 3,524989,0.086,0.041,0.0016,17744,0.0338,0.001,1504,286,30,5.7,-0.15,-0.21,0.001008271,1769,337,38,7.2,23060,572,SustainedHotspot,0.098,16059,3059,0.92,-0.007,0.06,0.07,0.106,15169,2889,2,0.85,-0.005,0.13,-0.02,0.11,13455,2563,2,0.87,109,13,98,12,0.67,0.2,0.64,0.28,0.24,0.12,0.11,-0.06,0.05,0.02,0.06,0.01,0.02,0,5,846,96,119.7142857,1,1,1,1,0.059456474,0.067892355,0.168291145,2.65,0.056745951,0.076281598,0,0.061307951,0.1436,0.149316,Uncertain
"Clayton County, GA",13063,Large fringe metro,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan,GA,Region 4,292256,0.0485,0.0275,9.00E-04,4013,0.0137,0.001,1492,511,13,4.4,0.54,0.86,0.000553438,971,332,7,2.4,17086,254,SustainedHotspot,0.192,4539,1553,0.53,-0.017,1.28,-0.16,0.209,1992,682,0,0.69,0.008,-0.6,0.15,0.2,4989,1707,0,0.54,70,41,67,39,0.69,0.25,0.87,0.48,0.45,0.15,0.21,0.86,-0.14,0.02,0.13,0.19,0.03,0.02,1,171.1428571,20.71428571,34,1,1,1,1,0.192155722,0.200474814,0.096377833,2.95,0.704546699,0.134108453,0.01,0.050253887,0.9102,0.91595,Uncertain
"Kent County, MI",26081,Large central metro,"Grand Rapids-Kentwood, MI",Metropolitan,MI,Region 5,656955,0.6098,0.0658,0.002,10338,0.0157,9.00E-04,1488,226,21,3.2,-0.37,-0.5,0.001338282,2348,357,42,6.4,47110,606,SustainedHotspot,0.086,20076,3056,0.86,-0.019,0.07,0,0.105,18749,2854,1,0.86,0.015,0.15,0,0.09,16305,2482,1,0.86,150,8,12,1,0.72,0.1,0.75,0.18,0.2,0.07,0.01,-0.08,0.02,-0.01,0.03,0,-0.02,-0.01,3,1771,248.4285714,404,1,1,1,1,0.06546227,0.125565036,0.141288216,2.64,0.09717865,0.108439695,0.01,0.033376715,0.4761,0.262018,Uncertain
"Snohomish County, WA",53061,Large fringe metro,"Seattle-Tacoma-Bellevue, WA",Metropolitan,WA,Region 10,822083,0.2066,0.108,0.0025,3577,0.0044,9.00E-04,1487,181,23,2.8,-0.25,-0.21,0.001133664,1989,242,29,3.5,25869,442,SustainedHotspot,0.066,3766,458,0.97,-0.02,0.07,-0.02,0.086,3535,430,1,0.99,-0.025,0.03,0.01,0.111,3448,419,1,0.98,31,4,2,0,0.96,0.13,0.68,0.23,0.2,0.09,-0.43,-0.79,-0.01,-0.02,-0.01,-0.03,-0.03,-0.01,4,736.1190476,76.16666667,93,1,1,1,1,0.064542542,0.080868125,0.139684192,2.68,0.035082832,0.106031873,0.02,0.120481752,0.2755,0.186246,Uncertain
